ppCode,ppName,geometries
A0004,ALIWAL STREET ,"1.302642219937201, 103.86084119330316"
A0005,ALLENBY ROAD ,"1.3104972637937171, 103.85913404261238"
A0006,AMOY STREET ,"1.2811858670982985, 103.84723105375262"
A0007,ANGULLIA PARK OFF STREET,"1.3053280313222764, 103.82957069514482"
A0008,ANN SIANG ROAD ,"1.2808813845277496, 103.84585310232585"
A0010,ARAB STREET ,"1.3022599571413955, 103.85820845289837"
A0011,ARMENIAN STREET OFF STREET,"1.2939260442330984, 103.84886606187924"
A0017,ARAB STREET - QUEEN STREET OFF STREET,"1.3029418442262124, 103.85702527311646"
A0021,AMOY STREET OFF STREET ,"1.2807904229808036, 103.84717734239695"
A0024,ADAM ROAD FOOD CENTRE OFF STREET,"1.3241651253008084, 103.81389905715548"
A0025,ADAM ROAD - DUNEARN CLOSE OFF STREET,"1.3244774629124667, 103.8141209022391"
A0028,ALJUNIED ROAD (MINOR) ,"1.3254396878538988, 103.87964838524361"
A0034,ANAMALAI AVENUE ,"1.3306594562882015, 103.79470023552228"
A0035,ANTHONY ROAD OFF STREET,"1.3102963501654719, 103.83689301744357"
A0036,ANG MO KIO STREET 62 ,"1.3869576900220246, 103.84514477281556"
A0037,ANG MO KIO STREET 64 ,"1.387706325683601, 103.84923347368165"
A0043,AYER RAJAH CRESCENT ,"1.2934003205032152, 103.78888553917658"
A0046,ALJUNIED ROAD OFF STREET,"1.313892836774599, 103.88178819343074"
A0048,ANG MO KIO STREET 63 ,"1.3857095748320563, 103.8482474040831"
A0054,ANCHORVALE STREET ,"1.3975766577342363, 103.8861812126259"
A0057,AROOZOO AVENUE ,"1.354981181234537, 103.8845356827641"
B0001,BUKIT TIMAH ROAD ,"1.3245558872347227, 103.80933716251475"
B0002,BAGHDAD STREET ,"1.3013483801140326, 103.85997016711777"
B0004,BULIM AVENUE HVP ,"1.3568338027540823, 103.70958289707501"
B0005,BANDA STREET - SAGO LANE OFF STREET,"1.2812556946484441, 103.84389985953524"
B0008,BEATTY ROAD ,"1.3139378544956877, 103.85854647296922"
B0011,BIRCH ROAD ,"1.310982602554198, 103.85392526240007"
B0018,BUKIT PASOH ROAD ,"1.278946666762199, 103.84074437375571"
B0020,BUSSORAH STREET ,"1.3009526501289133, 103.86004484465717"
B0022,BEATTY LANE ,"1.3121023013793585, 103.86022624651685"
B0023,BENG WAN ROAD OFF STREET,"1.3236170292592027, 103.86557758209938"
B0025,BALI LANE ,"1.3011559817699756, 103.85840941791858"
B0028,BALESTIER ROAD ,"1.3216370258681256, 103.85319513468113"
B0029,BHAMO ROAD ,"1.3246793498140557, 103.84963764340708"
B0031,BEATTY ROAD OFF STREET,"1.3141110311462287, 103.85960539693768"
B0032,BUKIT TIMAH MARKET OFF STREET,"1.3390889295850852, 103.77639634689156"
B0033,BOON TECK ROAD ,"1.3262158334361198, 103.84952323334346"
B0035,BELILIOS LANE OFF STREET,"1.307434072042492, 103.85169385852043"
B0042,BENOI SECTOR ,"1.319595325548177, 103.68435864865758"
B0045,BLAIR ROAD ,"1.2761613638928557, 103.83618308099842"
B0052,BANDA STREET ,"1.2811851246397492, 103.84360576223798"
B0062,BUFFALO ROAD SERVICE ROAD,"1.3071671193653343, 103.85062374490197"
B0063,BUKIT BATOK NATURE PARK OFF STREET,"1.3473952304979198, 103.76148104730629"
B0067,BURN ROAD ,"1.3352933206384174, 103.88558164865265"
B0069,BEDOK SOUTH ROAD ,"1.3204954163780562, 103.9399385156368"
B0073,BOON TAT STREET ,"1.2814016211191142, 103.84809054019605"
B0082,BRADDELL ROAD HEAVY VEHICLE PARK,"1.3443454602186455, 103.857771736664"
B0084,BEACH ROAD ,"1.300720622397272, 103.86049444187195"
B0086,BUKIT BATOK EAST AVENUE 2 HV PARK,"1.3502437528097613, 103.76141824320408"
B0087,BAGHDAD STREET OFF STREET,"1.3013034071472223, 103.86037519945214"
B0088,BEDOK ROAD FOOD CENTRE OFF STREET,"1.3208824942580355, 103.95521451777427"
B0090,BENOI ROAD ,"1.3023519999949795, 103.67943175420542"
B0092,BABOO LANE ,"1.308682268236453, 103.8541998183374"
B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,"1.3142215116789029, 103.8610435461857"
B0100,BRIGHTON CRESCENT ,"1.3629064592604478, 103.8711185284715"
B0101,BOON LAY WAY HVP   ,"1.3270814500381154, 103.75087173947735"
BL001,BACKLANE BET CECIL STREET-MARKET STREET,"1.2824878802977204, 103.85089510084994"
BL008,BACKLANE BET NORTH CANAL ROAD-CIRCULAR RD,"1.286582140779026, 103.84821870264284"
BL009,BACKLANE BET HONGKONG ST-CARPENTER STREET,"1.2877213997561372, 103.84809671797693"
BL010,BACKLANE BET LORONG TELOK-CIRCULAR ROAD,"1.2861307018727863, 103.84909356539674"
BL011,BACKLANE OFF SYNAGOGUE STREET,"1.2856216552103314, 103.84842849716597"
BL014,BACKLANE BET BOON TAT STREET-AMOY STREET,"1.281878371827942, 103.8478848800137"
BL015,BACKLANE OFF AMOY STREET,"1.2809649086337982, 103.84730633299999"
BL016,BACKLANE OFF GEMMILL LANE,"1.2825351046222213, 103.84720409767286"
BL019,BACKLANE BET UPPER CROSS ST-MOSQUE STREET,"1.2844914856026155, 103.84422420515202"
BL021,BACKLANE OFF COOK STREET,"1.2790593598534763, 103.84422399351055"
BL022,BACKLANE BET TRAS STREET-COOK STREET,"1.2785615278795994, 103.84419495337653"
BL023,BACKLANE BET PECK SEAH STREET-TRAS STREET,"1.277192301413713, 103.84457893741421"
BL031,BACKLANE OFF BUKIT PASOH ROAD,"1.2783863526723962, 103.84053926121281"
BL032,BACKLANE OFF KEONG SAIK ROAD,"1.279216409831758, 103.84135963475319"
BL033,BACKLANE OFF TECK LIM ROAD,"1.2796040087127794, 103.84196695679235"
BL034,BACKLANE BET KEONG SAIK ROAD-NEIL ROAD,"1.2807475836466824, 103.84195254986099"
BL041,BACKLANE BET CARPENTER -UPPER CIRCULAR ROAD,"1.2886324698033718, 103.8477430988223"
BL046,BACKLANE BET SYNAGOGUE STREET-CHURCH STREET,"1.2846244918993246, 103.849129877828"
BL053,BACKLANE BET BOON TAT STREET-MCCALLUM STREET,"1.2800609456715224, 103.84909536306598"
BL054,BACKLANE OFF BOON TAT STREET,"1.2812244676591857, 103.84826819549795"
BL055,BACKLANE OFF MCCALLUM STREET,"1.279748416696398, 103.8474596295561"
BL060,BACKLANE OFF SMITH STREET,"1.2832991870368622, 103.8431531261851"
BL061,BACKLANE BET TEMPLE STREET-PAGODA STREET,"1.283129090734506, 103.8439851843999"
BL062,BACKLANE BET TEMPLE STREET-SMITH STREET,"1.282240659499805, 103.84488940004991"
BL067,BACKLANE BET ANN SIANG ROAD-ERSKINE ROAD,"1.281368152131376, 103.84519839452814"
BL076,BACKLANE BET CRAIG ROAD-DUXTON ROAD,"1.2777539318059052, 103.84330576026419"
BL077,BACKLANE BET JIAK CHUAN RD-TECK LIM ROAD,"1.2801072720663471, 103.84180452795938"
BL092,BACKLANE OFF SEAH STREET,"1.29643959343453, 103.85454063769355"
BL093,BACKLANE OFF PURVIS STREET,"1.2965245741878513, 103.85565484429627"
BL094,BACKLANE BET MIDDLE ROAD-LIANG SEAH STREET,"1.2981911559071964, 103.85582786821676"
BL109,BACKLANE BET PERAK ROAD-MADRAS STREET,"1.3050379233283582, 103.85312199043152"
BL111,BACKLANE BET MAYO STREET-DUNLOP STREET,"1.3041239859948006, 103.85411542609394"
BL112,BACKLANE BET DICKSON ROAD-DUNLOP STREET,"1.3044276003488524, 103.85442413232872"
BL116,BACKLANE BET KAMPONG KAPOR-UPPER DICKSON RD,"1.3064076459314924, 103.85267916741435"
BL118,BACKLANE BET DICKSON ROAD-UPPER WELD ROAD,"1.3056093715522543, 103.85422551208146"
BL120,BACKLANE BET CUFF ROAD -VEERASAMY ROAD,"1.3072435797242372, 103.85385446588803"
BL124,BACKLANE BET HINDOO ROAD-ROWELL ROAD,"1.3090956899369541, 103.85382087074017"
BL128,BACKLANE OFF ROWELL ROAD,"1.3073391335543096, 103.85619363124125"
BL132,BACKLANE OFF DESKER ROAD,"1.3094338411343693, 103.85518085688622"
BL137,BACKLANE OFF SAM LEONG ROAD,"1.309295558465115, 103.85742453872801"
BL138,BACKLANE BET KELANTAN LANE-KELANTAN ROAD,"1.3061829247914518, 103.85611897937677"
BL141,BACKLANE BET TOWNSHEND ROAD-JALAN BESAR,"1.3083530196981028, 103.85760809408355"
BL144,BACKLANE BET KITCHENER ROAD-PLUMER ROAD,"1.3095119979398833, 103.85837294505234"
BL151,BACKLANE OFF CAVAN ROAD,"1.3104981902410295, 103.8611963645053"
BL172,BACKLANE BET ARAB STREET-JALAN PINANG,"1.3024723783782206, 103.85843640347143"
BL177,BACKLANE OFF BAGHDAD STREET,"1.3012735516954075, 103.86025962283824"
BL180,BACKLANE BET JALAN SULTAN-ALIWAL STREET,"1.303114143159975, 103.86104980306648"
BL192,BACKLANE OFF FARLEIGH AVENUE,"1.364271106514869, 103.86537523115335"
BL193,BACKLANE OFF SERANGOON GARDEN WAY,"1.3636638634583826, 103.86534403023457"
